H_A_per_m,B_T
2.298534078310105428e+02,1.340681897052926175e+00
2.235576777643968001e+02,1.337979387142576027e+00
2.169685238971906927e+02,1.335054527234942112e+00
2.100965086437044249e+02,1.331893472059658468e+00
2.029525553033123515e+02,1.328480775405797010e+00
1.955479310520732383e+02,1.324799197266018691e+00
1.878942295122780592e+02,1.320829479680003082e+00
1.800033529264435117e+02,1.316550085516206448e+00
1.718874939627436333e+02,1.311936893157241268e+00
1.635591171792664795e+02,1.306962838458676890e+00
1.550309401748921516e+02,1.301597493340572731e+00
1.463159144548877748e+02,1.295806567821535360e+00
1.374272060396359905e+02,1.289551319050805001e+00
1.283781758451588644e+02,1.282787846711049173e+00
1.191823598643010058e+02,1.275466248748970299e+00
1.098534491776167954e+02,1.267529604324913128e+00
1.004052698231236747e+02,1.258912741577783212e+00
9.085176255417849234e+01,1.249540735468060326e+00
8.120696251476165628e+01,1.239327064443985327e+00
7.148497886146977010e+01,1.228171332335169064e+00
6.169997436146434211e+01,1.215956431340005084e+00
5.186614499555425795e+01,1.202544979754747612e+00
4.199769959544428133e+01,1.187774809008635302e+00
3.210883954405126417e+01,1.171453190788254162e+00
2.221373856754350840e+01,1.153349374526029258e+00
1.232652264754584692e+01,1.133184829488601775e+00
2.461250081657641253e+00,1.110620324165418671e+00
-7.368108279902322977e+00,1.085238579859975072e+00
-1.714768859405671009e+01,1.056520624111824347e+00
-2.686375335398163955e+01,1.023813004095914803e+00
-3.650271046093913441e+01,9.862814567148767697e-01
-4.605113201268893164e+01,9.428440288435788741e-01
-5.549577278283035042e+01,8.920721683736989593e-01
-6.482358836598073992e+01,8.320403431645937431e-01
-7.402175296426025852e+01,7.600899763680040166e-01
-8.307767679118092019e+01,6.724447737353078658e-01
-9.197902306965593766e+01,5.635555182378562122e-01
-1.007137246015366685e+02,4.249229086468013783e-01
-1.092699998867682609e+02,2.428390959719731179e-01
-1.176363687710073265e+02,-6.320298584991473900e-03
-1.258016676012698412e+02,-2.982717273580299810e-01
-1.337550638699867420e+02,-5.050252495633575922e-01
-1.414860703286496459e+02,-6.547343062739237052e-01
-1.489845585530343897e+02,-7.678860442087236393e-01
-1.562407719428858854e+02,-8.561931583299974280e-01
-1.632453381397797330e+02,-9.268359947259016129e-01
-1.699892808477974029e+02,-9.844604746186306210e-01
-1.764640310425623682e+02,-1.032204696663697518e+00
-1.826614375550940963e+02,-1.072263839279756770e+00
-1.885737770179065080e+02,-1.106218710402597338e+00
-1.941937631617224440e+02,-1.135235783295677203e+00
-1.995145554521465669e+02,-1.160193764784692494e+00
-2.045297670566369845e+02,-1.181766348085133256e+00
-2.092334721330857121e+02,-1.200477868665641212e+00
-2.136202124323392582e+02,-1.216741666037300273e+00
-2.176850032079949244e+02,-1.230887098420164971e+00
-2.214233384278086589e+02,-1.243178927258405730e+00
-2.248311952820913291e+02,-1.253831456737607652e+00
-2.279050379854676578e+02,-1.263018994978964971e+00
-2.306418208694081216e+02,-1.270883687515157456e+00
-2.330389907639636249e+02,-1.277541440607810275e+00
-2.350944886681432422e+02,-1.283086432402480659e+00
-2.368067507094000916e+02,-1.287594562250920394e+00
-2.381747083937025025e+02,-1.291126087295463964e+00
-2.391977881486599813e+02,-1.293727624658373099e+00
-2.398759101631897863e+02,-1.295433647105611152e+00
-2.402094865281820262e+02,-1.296267563187144312e+00
-2.401994186836079734e+02,-1.296263527511327229e+00
-2.398470941784832178e+02,-1.296122171324110672e+00
-2.391543827510448068e+02,-1.295843523071994019e+00
-2.381236317374484770e+02,-1.295427106618759705e+00
-2.367576608182089046e+02,-1.294871940398058197e+00
-2.350597561125191532e+02,-1.294176532332261598e+00
-2.330336636314676753e+02,-1.293338870474121105e+00
-2.306835821020468984e+02,-1.292356409263073047e+00
-2.280141551746936557e+02,-1.291226051221319615e+00
-2.250304630279256912e+02,-1.289944123844430024e+00
-2.217380133844557122e+02,-1.288506351365448666e+00
