H_A_per_m,B_T
-2.293022417754400522e+00,9.543466004127353353e-01
-2.310378914058674127e+00,9.539833717715087147e-01
-2.327722627873299643e+00,9.536201318353548784e-01
-2.345053571640164591e+00,9.532568806388223015e-01
-2.362371757713845000e+00,9.528936182179630343e-01
-2.379677198448916897e+00,9.525303446085061632e-01
-2.396969906156300567e+00,9.521670598467741886e-01
-2.414249893190572038e+00,9.518037639678489370e-01
-2.431517171906307340e+00,9.514404570064868283e-01
-2.448771754570771009e+00,9.510771389989574054e-01
-2.466013653451227583e+00,9.507138099812080245e-01
-2.483242880814941600e+00,9.503504699888641882e-01
-2.500459448972833343e+00,9.499871190563068390e-01
-2.517663370104855858e+00,9.496237572203573007e-01
-2.534854656434617937e+00,9.492603845165950016e-01
-2.552033320185728371e+00,9.488970009802770722e-01
-2.569199373581795953e+00,9.485336066463372351e-01
-2.586352828759117983e+00,9.481702015512359916e-01
-2.603493697897647507e+00,9.478067857301890609e-01
-2.620621993133681826e+00,9.474433592190156794e-01
-2.637737726559862494e+00,9.470799220541423757e-01
-2.654840910356142558e+00,9.467164742698208624e-01
-2.671931556571507826e+00,9.463530159027649935e-01
-2.689009677342255600e+00,9.459895469875120311e-01
-2.706075284717371687e+00,9.456260675601362298e-01
-2.723128390745841898e+00,9.452625776563932103e-01
-2.740169007476652041e+00,9.448990773117200703e-01
-2.757197146915132180e+00,9.445355665621655294e-01
-2.774212821110268123e+00,9.441720454425273079e-01
-2.791216042023734190e+00,9.438085139891496667e-01
-2.808206821660860442e+00,9.434449722371256453e-01
-2.825185171939665452e+00,9.430814202230982657e-01
-2.842151104865479283e+00,9.427178579815242987e-01
-2.859104632356320508e+00,9.423542855484114966e-01
-2.876045766330207698e+00,9.419907029594514203e-01
-2.892974518705159426e+00,9.416271102500181067e-01
-2.909890901355538517e+00,9.412635074561060966e-01
-2.926794926155707799e+00,9.408998946133945163e-01
-2.943686604980030097e+00,9.405362717572453013e-01
-2.960565949659212492e+00,9.401726389236442216e-01
-2.977432972067617811e+00,9.398089961473200526e-01
-2.994287683992297389e+00,9.394453434645675394e-01
-3.011130097220302559e+00,9.390816809113667896e-01
-3.027960223538684659e+00,9.387180085233843840e-01
-3.044778074778150767e+00,9.383543263350266894e-01
-3.061583662638440728e+00,9.379906343832162818e-01
-3.078376998906605877e+00,9.376269327026738321e-01
-3.095158095282386057e+00,9.372632213296947512e-01
-3.111926963465521112e+00,9.368995003002630328e-01
-3.128683615199406631e+00,9.365357696491003470e-01
-3.145428062140126713e+00,9.361720294125100983e-01
-3.162160315987421200e+00,9.358082796255337010e-01
-3.178880388397374190e+00,9.354445203238479500e-01
-3.195588290982414037e+00,9.350807515437672413e-01
-3.212284035398624837e+00,9.347169733203429809e-01
-3.228967633258434944e+00,9.343531856892648424e-01
-3.245639096174272709e+00,9.339893886859095273e-01
-3.262298435671254992e+00,9.336255823472486837e-01
